user_id,rides_request,price,rides_accepted
1,3050,3,226.48303
2,4532,3.5,1243.8806
3,2547,2.5,275.08905
4,3644,3,856.14441
5,4527,3.5,1213.682
6,3530,3,733.30768
7,2609,2.5,340.62228
8,3477,3,599.90448
9,3300,3,502.63672
10,4177,3.5,844.86993
11,2263,2.5,-14.190102
12,4990,3.5,1593.3026
13,2064,2.5,-163.12856
14,2708,2.5,421.15039
15,2679,2.5,318.03217
16,2542,2.5,-176.51151
17,1958,2,-53.361305
18,3831,3,1014.3165
19,3423,3,667.20062
20,3813,3,1018.6254
21,3427,3,644.94818
22,3855,3,1013.0833
23,4961,3.5,1637.1886
24,1571,2,-225.40471
25,4686,3.5,1336.4067
26,1917,2,33.663368
27,4370,3.5,1036.8048
28,2775,2.5,392.98502
29,2720,2.5,-294.23926
30,2036,2.5,-251.23447
31,4027,3.5,350.70978
32,3538,3,758.22314
33,2936,2.5,616.44843
34,2955,2.5,455.77972
35,3166,3,420.52762
36,4928,3.5,1376.1401
37,4525,3.5,1184.8544
38,4297,3.5,1036.1545
39,2396,2.5,53.549194
40,1842,2,20.170956
41,3211,3,476.09821
42,2631,2.5,341.80899
43,2415,2.5,110.30052
44,2140,2.5,-104.26033
45,2715,2.5,264.78351
46,2283,2.5,-26.794531
47,4344,3.5,874.33527
48,3769,3,957.5271
49,2821,2.5,509.36319
50,1593,2,-189.02528
51,3021,3,290.21927
52,1961,2,94.230949
53,1899,2,53.151619
54,4947,3.5,1406.8479
55,4090,3.5,861.77661
56,1867,2,-3.8932641
57,3191,3,412.94806
58,2240,2.5,-77.75032
59,2310,2.5,6.8972144
60,2819,2.5,438.71393
61,3321,3,556.52167
62,2675,2.5,320.01837
63,1759,2,-183.32343
64,3258,3,283.19363
65,3303,3,517.86237
66,3709,3,869.58569
67,1427,2,-377.65915
68,2505,2.5,215.83452
69,1874,2,-73.041733
70,4740,3.5,1181.2844
71,4112,3.5,896.34332
72,3075,3,357.37262
73,1415,2,-359.41122
74,2125,2.5,-124.07967
75,4773,3.5,1472.2513
76,3182,3,372.00635
77,1506,2,-545.91779
78,2386,2.5,44.79615
79,4721,3.5,1432.7491
80,4441,3.5,792.72394
81,2208,2.5,-43.556393
